"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2019Q4","Italy","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2019Q4","Portugal","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2019Q4","United States and Canada","Nights per Trip","15.6"
"Average Length of Stay by Irish Residents","2019Q4","Great Britain","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2019Q4","Northern Ireland","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2019Q4","Asia (7)","Nights per Trip","11.9"
"Average Length of Stay by Irish Residents","2019Q4","Other Europe (22)","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2019Q4","Other countries (26)","Nights per Trip","15.9"
"Average Length of Stay by Irish Residents","2020Q1","All Countries","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2020Q1","Germany","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2020Q1","Spain","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2020Q1","France","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2020Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2020Q1","Italy","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2020Q1","Portugal","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2020Q1","United States and Canada","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2020Q1","Great Britain","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2020Q1","Northern Ireland","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2020Q1","Asia (7)","Nights per Trip","14.2"
"Average Length of Stay by Irish Residents","2020Q1","Other Europe (22)","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2020Q1","Other countries (26)","Nights per Trip","20.9"
"Average Length of Stay by Irish Residents","2020Q2","All Countries","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2020Q2","Germany","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","Spain","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","France","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","Italy","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","Portugal","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","Great Britain","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","Northern Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","Asia (7)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","Other Europe (22)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q2","Other countries (26)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","All Countries","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2020Q3","Germany","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","Spain","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","France","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","Italy","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","Portugal","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","Great Britain","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","Northern Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","Asia (7)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","Other Europe (22)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q3","Other countries (26)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","All Countries","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2020Q4","Germany","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","Spain","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","France","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","Italy","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","Portugal","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","Great Britain","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","Northern Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","Asia (7)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","Other Europe (22)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020Q4","Other countries (26)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q1","All Countries","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2021Q1","Germany","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q1","Spain","Nights per Trip","25"
"Average Length of Stay by Irish Residents","2021Q1","France","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2021Q1","Italy","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q1","Portugal","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q1","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q1","Great Britain","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2021Q1","Northern Ireland","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021Q1","Asia (7)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q1","Other Europe (22)","Nights per Trip","16.7"
"Average Length of Stay by Irish Residents","2021Q1","Other countries (26)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q2","All Countries","Nights per Trip","10.2"
"Average Length of Stay by Irish Residents","2021Q2","Germany","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q2","Spain","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2021Q2","France","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2021Q2","Italy","Nights per Trip","22.5"
"Average Length of Stay by Irish Residents","2021Q2","Portugal","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2021Q2","United States and Canada","Nights per Trip","1"
"Average Length of Stay by Irish Residents","2021Q2","Great Britain","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents","2021Q2","Northern Ireland","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2021Q2","Asia (7)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q2","Other Europe (22)","Nights per Trip","30.9"
"Average Length of Stay by Irish Residents","2021Q2","Other countries (26)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q3","All Countries","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2021Q3","Germany","Nights per Trip","18.9"
"Average Length of Stay by Irish Residents","2021Q3","Spain","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents","2021Q3","France","Nights per Trip","13.3"
"Average Length of Stay by Irish Residents","2021Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2021Q3","Italy","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2021Q3","Portugal","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2021Q3","United States and Canada","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2021Q3","Great Britain","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2021Q3","Northern Ireland","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2021Q3","Asia (7)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021Q3","Other Europe (22)","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2021Q3","Other countries (26)","Nights per Trip","19.4"
"Average Length of Stay by Irish Residents","2021Q4","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2021Q4","Germany","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2021Q4","Spain","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2021Q4","France","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2021Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2021Q4","Italy","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2021Q4","Portugal","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2021Q4","United States and Canada","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2021Q4","Great Britain","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2021Q4","Northern Ireland","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2021Q4","Asia (7)","Nights per Trip","16.2"
"Average Length of Stay by Irish Residents","2021Q4","Other Europe (22)","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2021Q4","Other countries (26)","Nights per Trip","57.1"
"Average Length of Stay by Irish Residents","2022Q1","All Countries","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2022Q1","Germany","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2022Q1","Spain","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2022Q1","France","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2022Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2022Q1","Italy","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2022Q1","Portugal","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2022Q1","United States and Canada","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2022Q1","Great Britain","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2022Q1","Northern Ireland","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2022Q1","Asia (7)","Nights per Trip","11.2"
"Average Length of Stay by Irish Residents","2022Q1","Other Europe (22)","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2022Q1","Other countries (26)","Nights per Trip","13.4"
"Average Length of Stay by Irish Residents","2022Q2","All Countries","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2022Q2","Germany","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2022Q2","Spain","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2022Q2","France","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2022Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2022Q2","Italy","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2022Q2","Portugal","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2022Q2","United States and Canada","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2022Q2","Great Britain","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2022Q2","Northern Ireland","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2022Q2","Asia (7)","Nights per Trip","14.3"
"Average Length of Stay by Irish Residents","2022Q2","Other Europe (22)","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents","2022Q2","Other countries (26)","Nights per Trip","31.4"
"Average Length of Stay by Irish Residents","2022Q3","All Countries","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2022Q3","Germany","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2022Q3","Spain","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2022Q3","France","Nights per Trip","13.7"
"Average Length of Stay by Irish Residents","2022Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2022Q3","Italy","Nights per Trip","8.1"
