"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"70 years and over","Domestic","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"70 years and over","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","60"
"70 years and over","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","203"
"70 years and over","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"70 years and over","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","75"
"70 years and over","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","331"
"70 years and over","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"70 years and over","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","87"
"70 years and over","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","523"
"70 years and over","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","6"
"70 years and over","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","85"
"70 years and over","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","312"
"70 years and over","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"70 years and over","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","69"
"70 years and over","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","278"
"70 years and over","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","4"
"70 years and over","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","88"
"70 years and over","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","361"
"70 years and over","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"70 years and over","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","113"
"70 years and over","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","530"
"70 years and over","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"70 years and over","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","94"
"70 years and over","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","345"
"70 years and over","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"70 years and over","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","71"
"70 years and over","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","292"
"70 years and over","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"70 years and over","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","97"
"70 years and over","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","379"
"70 years and over","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"70 years and over","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","132"
"70 years and over","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","770"
"70 years and over","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"70 years and over","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","112"
"70 years and over","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","434"
"70 years and over","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"70 years and over","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","82"
"70 years and over","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","326"
"70 years and over","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","4"
"70 years and over","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","134"
"70 years and over","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","482"
"70 years and over","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"70 years and over","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","164"
"70 years and over","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","794"
"70 years and over","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.8"
"70 years and over","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","113"
"70 years and over","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","380"
"70 years and over","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"70 years and over","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","113"
"70 years and over","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","385"
"70 years and over","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"70 years and over","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","180"
"70 years and over","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","733"
"70 years and over","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"70 years and over","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand",""
"70 years and over","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand",""
"70 years and over","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Outbound","2000Q1","Number of Trips by Irish Residents","Thousand","30"
"70 years and over","Outbound","2000Q1","Number of Nights by Irish Residents","Thousand","452"
"70 years and over","Outbound","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","15.1"
"70 years and over","Outbound","2000Q2","Number of Trips by Irish Residents","Thousand","34"
"70 years and over","Outbound","2000Q2","Number of Nights by Irish Residents","Thousand","410"
"70 years and over","Outbound","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","12.1"
"70 years and over","Outbound","2000Q3","Number of Trips by Irish Residents","Thousand","42"
"70 years and over","Outbound","2000Q3","Number of Nights by Irish Residents","Thousand","367"
"70 years and over","Outbound","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"70 years and over","Outbound","2000Q4","Number of Trips by Irish Residents","Thousand","39"
"70 years and over","Outbound","2000Q4","Number of Nights by Irish Residents","Thousand","373"
"70 years and over","Outbound","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"70 years and over","Outbound","2001Q1","Number of Trips by Irish Residents","Thousand","18"
"70 years and over","Outbound","2001Q1","Number of Nights by Irish Residents","Thousand","233"
"70 years and over","Outbound","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","12.9"
"70 years and over","Outbound","2001Q2","Number of Trips by Irish Residents","Thousand","42"
"70 years and over","Outbound","2001Q2","Number of Nights by Irish Residents","Thousand","449"
"70 years and over","Outbound","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.7"
"70 years and over","Outbound","2001Q3","Number of Trips by Irish Residents","Thousand","43"
"70 years and over","Outbound","2001Q3","Number of Nights by Irish Residents","Thousand","454"
"70 years and over","Outbound","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"70 years and over","Outbound","2001Q4","Number of Trips by Irish Residents","Thousand","34"
"70 years and over","Outbound","2001Q4","Number of Nights by Irish Residents","Thousand","427"
"70 years and over","Outbound","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","12.6"
"70 years and over","Outbound","2002Q1","Number of Trips by Irish Residents","Thousand","24"
"70 years and over","Outbound","2002Q1","Number of Nights by Irish Residents","Thousand","315"
"70 years and over","Outbound","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","13.1"
"70 years and over","Outbound","2002Q2","Number of Trips by Irish Residents","Thousand","46"
"70 years and over","Outbound","2002Q2","Number of Nights by Irish Residents","Thousand","482"
"70 years and over","Outbound","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.5"
"70 years and over","Outbound","2002Q3","Number of Trips by Irish Residents","Thousand","51"
"70 years and over","Outbound","2002Q3","Number of Nights by Irish Residents","Thousand","547"
"70 years and over","Outbound","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.7"
"70 years and over","Outbound","2002Q4","Number of Trips by Irish Residents","Thousand","41"
"70 years and over","Outbound","2002Q4","Number of Nights by Irish Residents","Thousand","468"
"70 years and over","Outbound","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","11.4"
"70 years and over","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","30"
"70 years and over","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","387"
"70 years and over","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","12.9"
"70 years and over","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","51"
"70 years and over","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","476"
"70 years and over","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.3"
"70 years and over","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","44"
"70 years and over","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","467"
"70 years and over","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"70 years and over","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","54"
"70 years and over","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","575"
"70 years and over","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"70 years and over","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","36"
"70 years and over","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","502"
"70 years and over","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","13.9"
"70 years and over","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","67"
"70 years and over","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","629"
"70 years and over","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"70 years and over","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","72"
"70 years and over","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","683"
"70 years and over","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.5"
"70 years and over","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","48"
"70 years and over","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","451"
"70 years and over","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"70 years and over","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","56"
"70 years and over","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","682"
