"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Nights by Irish Residents","2019Q3","Other","Outbound","Thousand","5489"
"Number of Nights by Irish Residents","2019Q4","All types of accommodation","Domestic","Thousand","5589"
"Number of Nights by Irish Residents","2019Q4","All types of accommodation","Outbound","Thousand","12848"
"Number of Nights by Irish Residents","2019Q4","Friends/relatives","Domestic","Thousand","2377"
"Number of Nights by Irish Residents","2019Q4","Friends/relatives","Outbound","Thousand","2609"
"Number of Nights by Irish Residents","2019Q4","Hotel/conference centre","Domestic","Thousand","2032"
"Number of Nights by Irish Residents","2019Q4","Hotel/conference centre","Outbound","Thousand","4975"
"Number of Nights by Irish Residents","2019Q4","Self catering/rented house","Domestic","Thousand","343"
"Number of Nights by Irish Residents","2019Q4","Self catering/rented house","Outbound","Thousand","2792"
"Number of Nights by Irish Residents","2019Q4","Other","Domestic","Thousand","837"
"Number of Nights by Irish Residents","2019Q4","Other","Outbound","Thousand","2473"
"Number of Nights by Irish Residents","2020Q1","All types of accommodation","Domestic","Thousand","4533"
"Number of Nights by Irish Residents","2020Q1","All types of accommodation","Outbound","Thousand","10082"
"Number of Nights by Irish Residents","2020Q1","Friends/relatives","Domestic","Thousand","1904"
"Number of Nights by Irish Residents","2020Q1","Friends/relatives","Outbound","Thousand","3471"
"Number of Nights by Irish Residents","2020Q1","Hotel/conference centre","Domestic","Thousand","1547"
"Number of Nights by Irish Residents","2020Q1","Hotel/conference centre","Outbound","Thousand","3671"
"Number of Nights by Irish Residents","2020Q1","Self catering/rented house","Domestic","Thousand","540"
"Number of Nights by Irish Residents","2020Q1","Self catering/rented house","Outbound","Thousand","1775"
"Number of Nights by Irish Residents","2020Q1","Other","Domestic","Thousand","542"
"Number of Nights by Irish Residents","2020Q1","Other","Outbound","Thousand","1165"
"Number of Nights by Irish Residents","2020Q2","All types of accommodation","Domestic","Thousand","875"
"Number of Nights by Irish Residents","2020Q2","All types of accommodation","Outbound","Thousand","427"
"Number of Nights by Irish Residents","2020Q2","Friends/relatives","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Friends/relatives","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Hotel/conference centre","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Hotel/conference centre","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Self catering/rented house","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Self catering/rented house","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Other","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Other","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q3","All types of accommodation","Domestic","Thousand","14777"
"Number of Nights by Irish Residents","2020Q3","All types of accommodation","Outbound","Thousand","3820"
"Number of Nights by Irish Residents","2020Q3","Friends/relatives","Domestic","Thousand","4491"
"Number of Nights by Irish Residents","2020Q3","Friends/relatives","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Hotel/conference centre","Domestic","Thousand","3284"
"Number of Nights by Irish Residents","2020Q3","Hotel/conference centre","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Self catering/rented house","Domestic","Thousand","3398"
"Number of Nights by Irish Residents","2020Q3","Self catering/rented house","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Other","Domestic","Thousand","3604"
"Number of Nights by Irish Residents","2020Q3","Other","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q4","All types of accommodation","Domestic","Thousand","3333"
"Number of Nights by Irish Residents","2020Q4","All types of accommodation","Outbound","Thousand","1268"
"Number of Nights by Irish Residents","2020Q4","Friends/relatives","Domestic","Thousand","1820"
"Number of Nights by Irish Residents","2020Q4","Friends/relatives","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Hotel/conference centre","Domestic","Thousand","567"
"Number of Nights by Irish Residents","2020Q4","Hotel/conference centre","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Self catering/rented house","Domestic","Thousand","399"
"Number of Nights by Irish Residents","2020Q4","Self catering/rented house","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Other","Domestic","Thousand","547"
"Number of Nights by Irish Residents","2020Q4","Other","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021Q1","All types of accommodation","Domestic","Thousand","1123"
"Number of Nights by Irish Residents","2021Q1","All types of accommodation","Outbound","Thousand","1367"
"Number of Nights by Irish Residents","2021Q1","Friends/relatives","Domestic","Thousand","710"
"Number of Nights by Irish Residents","2021Q1","Friends/relatives","Outbound","Thousand","1105"
"Number of Nights by Irish Residents","2021Q1","Hotel/conference centre","Domestic","Thousand","30"
"Number of Nights by Irish Residents","2021Q1","Hotel/conference centre","Outbound","Thousand","142"
"Number of Nights by Irish Residents","2021Q1","Self catering/rented house","Domestic","Thousand","272"
"Number of Nights by Irish Residents","2021Q1","Self catering/rented house","Outbound","Thousand","118"
"Number of Nights by Irish Residents","2021Q1","Other","Domestic","Thousand","111"
"Number of Nights by Irish Residents","2021Q1","Other","Outbound","Thousand","2"
"Number of Nights by Irish Residents","2021Q2","All types of accommodation","Domestic","Thousand","2968"
"Number of Nights by Irish Residents","2021Q2","All types of accommodation","Outbound","Thousand","1706"
"Number of Nights by Irish Residents","2021Q2","Friends/relatives","Domestic","Thousand","1409"
"Number of Nights by Irish Residents","2021Q2","Friends/relatives","Outbound","Thousand","1176"
"Number of Nights by Irish Residents","2021Q2","Hotel/conference centre","Domestic","Thousand","437"
"Number of Nights by Irish Residents","2021Q2","Hotel/conference centre","Outbound","Thousand","127"
"Number of Nights by Irish Residents","2021Q2","Self catering/rented house","Domestic","Thousand","393"
"Number of Nights by Irish Residents","2021Q2","Self catering/rented house","Outbound","Thousand","371"
"Number of Nights by Irish Residents","2021Q2","Other","Domestic","Thousand","729"
"Number of Nights by Irish Residents","2021Q2","Other","Outbound","Thousand","33"
"Number of Nights by Irish Residents","2021Q3","All types of accommodation","Domestic","Thousand","10043"
"Number of Nights by Irish Residents","2021Q3","All types of accommodation","Outbound","Thousand","7116"
"Number of Nights by Irish Residents","2021Q3","Friends/relatives","Domestic","Thousand","2608"
"Number of Nights by Irish Residents","2021Q3","Friends/relatives","Outbound","Thousand","2547"
"Number of Nights by Irish Residents","2021Q3","Hotel/conference centre","Domestic","Thousand","2542"
"Number of Nights by Irish Residents","2021Q3","Hotel/conference centre","Outbound","Thousand","1976"
"Number of Nights by Irish Residents","2021Q3","Self catering/rented house","Domestic","Thousand","2511"
"Number of Nights by Irish Residents","2021Q3","Self catering/rented house","Outbound","Thousand","1379"
"Number of Nights by Irish Residents","2021Q3","Other","Domestic","Thousand","2382"
"Number of Nights by Irish Residents","2021Q3","Other","Outbound","Thousand","1214"
"Number of Nights by Irish Residents","2021Q4","All types of accommodation","Domestic","Thousand","3752"
"Number of Nights by Irish Residents","2021Q4","All types of accommodation","Outbound","Thousand","7254"
"Number of Nights by Irish Residents","2021Q4","Friends/relatives","Domestic","Thousand","1737"
"Number of Nights by Irish Residents","2021Q4","Friends/relatives","Outbound","Thousand","2867"
"Number of Nights by Irish Residents","2021Q4","Hotel/conference centre","Domestic","Thousand","1085"
"Number of Nights by Irish Residents","2021Q4","Hotel/conference centre","Outbound","Thousand","2591"
"Number of Nights by Irish Residents","2021Q4","Self catering/rented house","Domestic","Thousand","491"
"Number of Nights by Irish Residents","2021Q4","Self catering/rented house","Outbound","Thousand","698"
"Number of Nights by Irish Residents","2021Q4","Other","Domestic","Thousand","439"
"Number of Nights by Irish Residents","2021Q4","Other","Outbound","Thousand","1097"
"Number of Nights by Irish Residents","2022Q1","All types of accommodation","Domestic","Thousand","5201"
"Number of Nights by Irish Residents","2022Q1","All types of accommodation","Outbound","Thousand","6068"
"Number of Nights by Irish Residents","2022Q1","Friends/relatives","Domestic","Thousand","2285"
"Number of Nights by Irish Residents","2022Q1","Friends/relatives","Outbound","Thousand","2265"
"Number of Nights by Irish Residents","2022Q1","Hotel/conference centre","Domestic","Thousand","1635"
"Number of Nights by Irish Residents","2022Q1","Hotel/conference centre","Outbound","Thousand","2439"
"Number of Nights by Irish Residents","2022Q1","Self catering/rented house","Domestic","Thousand","560"
"Number of Nights by Irish Residents","2022Q1","Self catering/rented house","Outbound","Thousand","711"
"Number of Nights by Irish Residents","2022Q1","Other","Domestic","Thousand","720"
"Number of Nights by Irish Residents","2022Q1","Other","Outbound","Thousand","654"
"Number of Nights by Irish Residents","2022Q2","All types of accommodation","Domestic","Thousand","7975"
"Number of Nights by Irish Residents","2022Q2","All types of accommodation","Outbound","Thousand","17000"
"Number of Nights by Irish Residents","2022Q2","Friends/relatives","Domestic","Thousand","2417"
"Number of Nights by Irish Residents","2022Q2","Friends/relatives","Outbound","Thousand","4199"
"Number of Nights by Irish Residents","2022Q2","Hotel/conference centre","Domestic","Thousand","2002"
"Number of Nights by Irish Residents","2022Q2","Hotel/conference centre","Outbound","Thousand","5936"
"Number of Nights by Irish Residents","2022Q2","Self catering/rented house","Domestic","Thousand","1528"
"Number of Nights by Irish Residents","2022Q2","Self catering/rented house","Outbound","Thousand","3263"
"Number of Nights by Irish Residents","2022Q2","Other","Domestic","Thousand","2029"
"Number of Nights by Irish Residents","2022Q2","Other","Outbound","Thousand","3602"
"Number of Nights by Irish Residents","2022Q3","All types of accommodation","Domestic","Thousand","14084"
"Number of Nights by Irish Residents","2022Q3","All types of accommodation","Outbound","Thousand","25593"
"Number of Nights by Irish Residents","2022Q3","Friends/relatives","Domestic","Thousand","3702"
"Number of Nights by Irish Residents","2022Q3","Friends/relatives","Outbound","Thousand","6475"
"Number of Nights by Irish Residents","2022Q3","Hotel/conference centre","Domestic","Thousand","2710"
"Number of Nights by Irish Residents","2022Q3","Hotel/conference centre","Outbound","Thousand","6697"
"Number of Nights by Irish Residents","2022Q3","Self catering/rented house","Domestic","Thousand","3476"
"Number of Nights by Irish Residents","2022Q3","Self catering/rented house","Outbound","Thousand","6392"
"Number of Nights by Irish Residents","2022Q3","Other","Domestic","Thousand","4196"
"Number of Nights by Irish Residents","2022Q3","Other","Outbound","Thousand","6028"
"Number of Nights by Irish Residents","2022Q4","All types of accommodation","Domestic","Thousand","6976"
"Number of Nights by Irish Residents","2022Q4","All types of accommodation","Outbound","Thousand","12544"
"Number of Nights by Irish Residents","2022Q4","Friends/relatives","Domestic","Thousand","3196"
"Number of Nights by Irish Residents","2022Q4","Friends/relatives","Outbound","Thousand","3256"
"Number of Nights by Irish Residents","2022Q4","Hotel/conference centre","Domestic","Thousand","1966"
