"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"South-West","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","207"
"South-West","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","565"
"South-West","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"South-West","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","211"
"South-West","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","553"
"South-West","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"South-West","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","213"
"South-West","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","565"
"South-West","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"South-West","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","275"
"South-West","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","745"
"South-West","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"South-West","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","34"
"South-West","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","117"
"South-West","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"South-West","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","38"
"South-West","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","129"
"South-West","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"South-West","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","36"
"South-West","Mid-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","150"
"South-West","Mid-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.2"
"South-West","Mid-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","32"
"South-West","Mid-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","83"
"South-West","Mid-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"South-West","Mid-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Mid-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Mid-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Mid-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","100"
"South-West","Mid-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","305"
"South-West","Mid-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.1"
"South-West","Mid-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","106"
"South-West","Mid-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","342"
"South-West","Mid-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"South-West","Mid-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","102"
"South-West","Mid-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","253"
"South-West","Mid-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"South-West","Mid-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","96"
"South-West","Mid-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","257"
"South-West","Mid-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"South-West","Mid-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Mid-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Mid-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Mid-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","South-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","92"
"South-West","South-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","316"
"South-West","South-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"South-West","South-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","112"
"South-West","South-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","313"
"South-West","South-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"South-West","South-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","97"
"South-West","South-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","267"
"South-West","South-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"South-West","South-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","101"
"South-West","South-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","338"
"South-West","South-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"South-West","South-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","South-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","South-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","South-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","South-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
