"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","Other countries (24)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other reasons","All Countries","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other reasons","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other reasons","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other reasons","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other reasons","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other reasons","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other reasons","Other countries (24)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","All Countries","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","United States and Canada","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","EU27 excluding Ireland","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","Other Europe (20)","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","Other countries (24)","Nights per Trip","22.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Holiday","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Holiday","United States and Canada","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Holiday","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Holiday","EU27 excluding Ireland","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Holiday","Other Europe (20)","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Holiday","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Holiday","Other countries (24)","Nights per Trip","17.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Business","All Countries","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Business","United States and Canada","Nights per Trip","1.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Business","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Business","EU27 excluding Ireland","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Business","Other Europe (20)","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Business","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Business","Other countries (24)","Nights per Trip","90"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","All Countries","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","United States and Canada","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","Other Europe (20)","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","Other countries (24)","Nights per Trip","25.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other reasons","All Countries","Nights per Trip","14"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other reasons","United States and Canada","Nights per Trip","5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other reasons","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other reasons","EU27 excluding Ireland","Nights per Trip","18.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other reasons","Other Europe (20)","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other reasons","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other reasons","Other countries (24)","Nights per Trip","5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","All Countries","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","United States and Canada","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","EU27 excluding Ireland","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","Other Europe (20)","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","Other countries (24)","Nights per Trip","15.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Holiday","All Countries","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Holiday","United States and Canada","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Holiday","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Holiday","EU27 excluding Ireland","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Holiday","Other Europe (20)","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Holiday","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Holiday","Other countries (24)","Nights per Trip","13.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Business","All Countries","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Business","United States and Canada","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Business","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Business","EU27 excluding Ireland","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Business","Other Europe (20)","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Business","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Business","Other countries (24)","Nights per Trip","14.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","United States and Canada","Nights per Trip","10.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","Other Europe (20)","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","Other countries (24)","Nights per Trip","21.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other reasons","All Countries","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other reasons","United States and Canada","Nights per Trip","16"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other reasons","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other reasons","EU27 excluding Ireland","Nights per Trip","15.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other reasons","Other Europe (20)","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other reasons","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other reasons","Other countries (24)","Nights per Trip","20.3"
