"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","88"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.5"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","70"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.9"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.3"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","171"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","116"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","91"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.2"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","132"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","188"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","113"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.3"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","99"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.9"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","212"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","122"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.5"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","110"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.4"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","154"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","206"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","117"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.4"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","99"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.3"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","161"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","202"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.4"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","16"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","56"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","67"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"ZZWORX24","Other countries (24)","1","Holiday/leisure/recreation","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
