"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Other Europe (14)","Business","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"Other Europe (14)","Business","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"Other Europe (14)","Business","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"Other Europe (14)","Business","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"Other Europe (14)","Business","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Other Europe (14)","Business","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Business","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"Other Europe (14)","Business","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"Other Europe (14)","Business","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"Other Europe (14)","Business","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Other Europe (14)","Business","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"Other Europe (14)","Business","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"Other Europe (14)","Business","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Other Europe (14)","Business","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"Other Europe (14)","Business","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"Other Europe (14)","Business","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"Other Europe (14)","Business","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"Other Europe (14)","Business","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"Other Europe (14)","Business","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"Other Europe (14)","Business","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Other Europe (14)","Business","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.5"
"Other Europe (14)","Business","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"Other Europe (14)","Business","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Other Europe (14)","Business","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","11"
"Other Europe (14)","Business","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"Other Europe (14)","Business","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"Other Europe (14)","Business","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"Other Europe (14)","Business","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"Other Europe (14)","Business","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Other Europe (14)","Business","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"Other Europe (14)","Business","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Other Europe (14)","Business","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"Other Europe (14)","Business","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Other Europe (14)","Business","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Other Europe (14)","Business","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"Other Europe (14)","Business","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"Other Europe (14)","Business","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"Other Europe (14)","Business","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"Other Europe (14)","Business","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","26"
"Other Europe (14)","Other reason for journey","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.6"
"Other Europe (14)","Other reason for journey","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Other Europe (14)","Other reason for journey","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","47"
"Other Europe (14)","Other reason for journey","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"Other Europe (14)","Other reason for journey","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"Other Europe (14)","Other reason for journey","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"Other Europe (14)","Other reason for journey","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.1"
"Other Europe (14)","Other reason for journey","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"Other Europe (14)","Other reason for journey","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"Other Europe (14)","Other reason for journey","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","18.3"
"Other Europe (14)","Other reason for journey","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Other Europe (14)","Other reason for journey","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","32"
"Other Europe (14)","Other reason for journey","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.8"
"Other Europe (14)","Other reason for journey","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"Other Europe (14)","Other reason for journey","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"Other Europe (14)","Other reason for journey","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.4"
"Other Europe (14)","Other reason for journey","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Other Europe (14)","Other reason for journey","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"Other Europe (14)","Other reason for journey","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.2"
"Other Europe (14)","Other reason for journey","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"Other Europe (14)","Other reason for journey","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","39"
"Other Europe (14)","Other reason for journey","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.6"
"Other Europe (14)","Other reason for journey","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"Other Europe (14)","Other reason for journey","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"Other Europe (14)","Other reason for journey","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"Other Europe (14)","Other reason for journey","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Other Europe (14)","Other reason for journey","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"Other Europe (14)","Other reason for journey","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.7"
"Other Europe (14)","Other reason for journey","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Other Europe (14)","Other reason for journey","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"Other Europe (14)","Other reason for journey","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.7"
"Other Europe (14)","Other reason for journey","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"Other Europe (14)","Other reason for journey","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"Other Europe (14)","Other reason for journey","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.8"
"Other Europe (14)","Other reason for journey","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"Other Europe (14)","Other reason for journey","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"Other Europe (14)","Other reason for journey","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","20.4"
"Other Europe (14)","Other reason for journey","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"Other Europe (14)","Other reason for journey","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"Other Europe (14)","Other reason for journey","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.6"
"Other Europe (14)","Other reason for journey","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"Other Europe (14)","Other reason for journey","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Other Europe (14)","Other reason for journey","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.4"
"Other Europe (14)","Other reason for journey","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"Other Europe (14)","Other reason for journey","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"Other Europe (14)","Other reason for journey","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.3"
"Other Europe (14)","Other reason for journey","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"Other Europe (14)","Other reason for journey","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Other Europe (14)","Other reason for journey","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","24.2"
"Other Europe (14)","Other reason for journey","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"Other Europe (14)","Other reason for journey","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","29"
"Other Europe (14)","Other reason for journey","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.9"
"Other Europe (14)","Other reason for journey","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Other Europe (14)","Other reason for journey","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","32"
"Other Europe (14)","Other reason for journey","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"Other Europe (14)","Other reason for journey","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
